property_id,title,city,area,purpose,property_type,bedrooms,bathrooms,size_value,size_unit,price_pkr,price_display,status,developer_id,agent_id,amenities,schools_nearby,hospitals_nearby,payment_plan_id,investment_tag
KR-DHA-6-001,DHA Phase 6 — 500 sq yd house,Karachi,DHA Phase 6,buy,house,5,6,500,sq_yd,85000000,8.5 crore,available,DEV-DHA,AGT-01,generator;security;lawn;servant_quarter,Beaconhouse DHA;The City School DHA,South City Hospital;Aga Khan (drive),PP-CASH,residential_prime
KR-DHA-6-002,DHA Phase 6 — 300 sq yd house,Karachi,DHA Phase 6,buy,house,4,4,300,sq_yd,55000000,5.5 crore,available,DEV-DHA,AGT-01,generator;security;car_porch,Beaconhouse DHA,South City Hospital,PP-CASH,residential_prime
KR-DHA-8-001,DHA Phase 8 — 200 sq yd house,Karachi,DHA Phase 8,buy,house,3,3,200,sq_yd,32000000,3.2 crore,available,DEV-DHA,AGT-02,generator;security,Foundation Public School,Medicare Hospital,PP-CASH,residential_value
KR-BAH-001,Bahria Town Karachi — Precinct 10 apartment,Karachi,Bahria Town,buy,apartment,3,3,1600,sq_ft,22000000,2.2 crore,available,DEV-BAHRIA,AGT-03,gym;pool;security;parking,Bahria College,Bahria Medical Complex,PP-BAHRIA-36,apartment_growth
KR-BAH-002,Bahria Town Karachi — Precinct 2 plot 125 sq yd,Karachi,Bahria Town,buy,plot,0,0,125,sq_yd,12500000,1.25 crore,available,DEV-BAHRIA,AGT-03,society_security;parks,Bahria College,Bahria Medical Complex,PP-BAHRIA-36,plot_long_term
KR-CLT-001,Clifton Block 5 — sea-view apartment,Karachi,Clifton,buy,apartment,3,3,2200,sq_ft,48000000,4.8 crore,available,DEV-PRIVATE,AGT-02,generator;security;sea_view;parking,Karachi Grammar School,South City Hospital;Aga Khan,PP-CASH,lifestyle_premium
KR-RENT-001,DHA Phase 5 — 3 bed rental house,Karachi,DHA Phase 5,rent,house,3,3,240,sq_yd,250000,2.5 lakh / month,available,DEV-DHA,AGT-01,generator;furnished_partial;security,Beaconhouse DHA,South City Hospital,PP-RENT-STD,n/a
KR-RENT-002,Gulshan-e-Iqbal — 2 bed rental apartment,Karachi,Gulshan-e-Iqbal,rent,apartment,2,2,1100,sq_ft,95000,"95,000 / month",available,DEV-PRIVATE,AGT-04,parking;security,The Educators Gulshan,Liaquat National Hospital,PP-RENT-STD,n/a
LH-DHA-R-001,DHA Lahore Phase 5 — 1 kanal house,Lahore,DHA Phase 5,buy,house,5,6,1,kanal,95000000,9.5 crore,available,DEV-DHA,AGT-05,lawn;generator;security;servant_quarter,LGS DHA;Beaconhouse DHA,National Hospital DHA,PP-CASH,residential_prime
LH-BAH-001,Bahria Town Lahore — Sector C apartment,Lahore,Bahria Town,buy,apartment,2,2,1200,sq_ft,18000000,1.8 crore,available,DEV-BAHRIA,AGT-05,gym;security;parking,Bahria College Lahore,Bahria International Hospital,PP-BAHRIA-36,apartment_growth
LH-JOH-001,Johar Town — commercial shop 2 marla,Lahore,Johar Town,commercial,shop,0,1,2,marla,35000000,3.5 crore,available,DEV-PRIVATE,AGT-06,main_boulevard;parking_street,n/a,Hameed Latif Hospital,PP-CASH,commercial_yield
ISB-G11-001,G-11 Markaz — office space 1500 sq ft,Islamabad,G-11,commercial,office,0,2,1500,sq_ft,28000000,2.8 crore,available,DEV-PRIVATE,AGT-07,lift;parking;backup_power,n/a,PIMS;Islamabad Specialist Clinic,PP-CASH,commercial_yield
ISB-BAH-001,Bahria Enclave — 5 marla house,Islamabad,Bahria Enclave,buy,house,3,4,5,marla,26000000,2.6 crore,available,DEV-BAHRIA,AGT-07,security;park;generator,Roots Millennium,Advanced International Hospital,PP-BAHRIA-36,residential_value
ISB-F7-RENT,F-7 — 3 bed apartment rental,Islamabad,F-7,rent,apartment,3,3,1800,sq_ft,220000,2.2 lakh / month,available,DEV-PRIVATE,AGT-07,furnished;generator;parking,Roots IVY F-7,Shifa International,PP-RENT-STD,n/a
KR-SOLD-001,DHA Phase 2 — sold example (unavailable),Karachi,DHA Phase 2,buy,house,4,4,400,sq_yd,70000000,7 crore,sold,DEV-DHA,AGT-01,generator;security,Beaconhouse,Aga Khan,PP-CASH,residential_prime
KR-COMM-001,Shahrah-e-Faisal — showroom 4000 sq ft,Karachi,Shahrah-e-Faisal,commercial,showroom,0,2,4000,sq_ft,120000000,12 crore,available,DEV-PRIVATE,AGT-04,frontage;parking;high_visibility,n/a,Liaquat National Hospital,PP-CASH,commercial_yield
